model,ctx,task,n_keys,n_values,n_hops,B,prompt_idx,uniform_score,envelope_score,endtask_ties,endtask_tie_count,kl_candidate,kl_candidate_order,kl_mean_kl,kl_score,H,G,regret,rescued,harmed,tie_hit,score_uniform,mean_kl_uniform,optimal_uniform,score_evict,mean_kl_evict,optimal_evict,score_interior,mean_kl_interior,optimal_interior
llama31-8b,32768,niah_multikey,16,4,4,2.0,440,1.0,1.0,uniform,1,uniform,0,0.025365082547068596,1.0,0.0,0.0,0.0,False,False,True,1.0,0.025365082547068596,True,0.0,2.7724814414978027,False,0.0,1.339194655418396,False
llama31-8b,32768,niah_multikey,16,4,4,2.0,441,1.0,1.0,uniform,1,uniform,0,0.04295643791556358,1.0,0.0,0.0,0.0,False,False,True,1.0,0.04295643791556358,True,0.0,2.8663930892944336,False,0.0,2.0113518238067627,False
llama31-8b,32768,niah_multikey,16,4,4,2.0,442,1.0,1.0,uniform|evict|interior,3,interior,2,0.1066037118434906,1.0,0.0,0.0,0.0,False,False,True,1.0,0.25221285223960876,True,1.0,0.1398419588804245,True,1.0,0.1066037118434906,True
llama31-8b,32768,niah_multikey,16,4,4,2.0,443,1.0,1.0,uniform|evict|interior,3,uniform,0,0.16433554887771606,1.0,0.0,0.0,0.0,False,False,True,1.0,0.16433554887771606,True,1.0,0.3792775273323059,True,1.0,0.31624096632003784,True
llama31-8b,32768,niah_multikey,16,4,4,2.0,444,1.0,1.0,uniform,1,uniform,0,0.011637124232947826,1.0,0.0,0.0,0.0,False,False,True,1.0,0.011637124232947826,True,0.0,2.634826183319092,False,0.0,1.4729050397872925,False
llama31-8b,32768,niah_multikey,16,4,4,2.0,445,1.0,1.0,uniform|evict|interior,3,uniform,0,0.016405168920755386,1.0,0.0,0.0,0.0,False,False,True,1.0,0.016405168920755386,True,1.0,0.4121829867362976,True,1.0,0.3075941205024719,True
llama31-8b,32768,niah_multikey,16,4,4,2.0,446,1.0,1.0,uniform,1,uniform,0,0.03056863322854042,1.0,0.0,0.0,0.0,False,False,True,1.0,0.03056863322854042,True,0.0,3.7066450119018555,False,0.0,2.5652103424072266,False
llama31-8b,32768,niah_multikey,16,4,4,2.0,447,1.0,1.0,uniform,1,uniform,0,0.21656616032123566,1.0,0.0,0.0,0.0,False,False,True,1.0,0.21656616032123566,True,0.0,2.4373586177825928,False,0.0,1.8577561378479004,False
llama31-8b,32768,niah_multikey,16,4,4,2.0,448,1.0,1.0,uniform,1,uniform,0,0.009188178926706314,1.0,0.0,0.0,0.0,False,False,True,1.0,0.009188178926706314,True,0.0,2.4934821128845215,False,0.0,1.6320397853851318,False
llama31-8b,32768,niah_multikey,16,4,4,2.0,449,1.0,1.0,uniform,1,uniform,0,0.008384122513234615,1.0,0.0,0.0,0.0,False,False,True,1.0,0.008384122513234615,True,0.0,2.550891876220703,False,0.0,1.9736040830612183,False
llama31-8b,32768,niah_multikey,16,4,4,2.0,450,1.0,1.0,uniform,1,uniform,0,0.004767031408846378,1.0,0.0,0.0,0.0,False,False,True,1.0,0.004767031408846378,True,0.0,2.7873663902282715,False,0.0,2.445803165435791,False
llama31-8b,32768,niah_multikey,16,4,4,2.0,451,1.0,1.0,uniform,1,uniform,0,0.017865292727947235,1.0,0.0,0.0,0.0,False,False,True,1.0,0.017865292727947235,True,0.0,2.8224267959594727,False,0.0,2.500545024871826,False
llama31-8b,32768,niah_multikey,16,4,4,2.0,452,1.0,1.0,uniform,1,uniform,0,0.018373174592852592,1.0,0.0,0.0,0.0,False,False,True,1.0,0.018373174592852592,True,0.0,2.7435717582702637,False,0.0,1.9086241722106934,False
llama31-8b,32768,niah_multikey,16,4,4,2.0,453,1.0,1.0,uniform|interior,2,uniform,0,0.06493598967790604,1.0,0.0,0.0,0.0,False,False,True,1.0,0.06493598967790604,True,0.0,2.742898941040039,False,1.0,0.19636307656764984,True
llama31-8b,32768,niah_multikey,16,4,4,2.0,454,1.0,1.0,uniform,1,uniform,0,0.09670035541057587,1.0,0.0,0.0,0.0,False,False,True,1.0,0.09670035541057587,True,0.0,2.9753012657165527,False,0.0,1.2483266592025757,False
llama31-8b,32768,niah_multikey,16,4,4,2.0,455,1.0,1.0,uniform,1,uniform,0,0.038365937769412994,1.0,0.0,0.0,0.0,False,False,True,1.0,0.038365937769412994,True,0.0,2.9147136211395264,False,0.0,3.0072665214538574,False
llama31-8b,32768,niah_multikey,16,4,4,2.0,456,1.0,1.0,uniform|evict|interior,3,uniform,0,0.014551892876625061,1.0,0.0,0.0,0.0,False,False,True,1.0,0.014551892876625061,True,1.0,0.41194266080856323,True,1.0,0.030301019549369812,True
llama31-8b,32768,niah_multikey,16,4,4,2.0,457,1.0,1.0,uniform|evict|interior,3,interior,2,0.018018469214439392,1.0,0.0,0.0,0.0,False,False,True,1.0,0.11736452579498291,True,1.0,0.24728421866893768,True,1.0,0.018018469214439392,True
llama31-8b,32768,niah_multikey,16,4,4,2.0,458,1.0,1.0,uniform,1,uniform,0,0.03969665616750717,1.0,0.0,0.0,0.0,False,False,True,1.0,0.03969665616750717,True,0.0,2.8311336040496826,False,0.0,1.8550670146942139,False
llama31-8b,32768,niah_multikey,16,4,4,2.0,459,1.0,1.0,uniform,1,uniform,0,0.031556062400341034,1.0,0.0,0.0,0.0,False,False,True,1.0,0.031556062400341034,True,0.0,3.3772132396698,False,0.0,1.9976449012756348,False
